filename,width,height,class,xmin,ymin,xmax,ymax
26756.png,108,48,1,32,8,51,39
26756.png,108,48,8,53,4,67,35
26757.png,190,72,1,97,19,112,58
26757.png,190,72,7,114,17,133,56
26757.png,190,72,7,134,16,155,55
26758.png,54,26,4,19,3,34,23
26759.png,83,39,2,34,11,44,28
26759.png,83,39,7,41,10,50,27
26760.png,65,27,1,21,2,27,25
26760.png,65,27,10,27,1,36,24
26760.png,65,27,9,35,1,45,24
26761.png,114,57,3,38,6,55,52
26761.png,114,57,5,54,6,76,52
26762.png,108,48,2,33,6,53,37
26762.png,108,48,7,56,9,68,40
26763.png,49,25,1,20,3,28,21
26764.png,67,34,4,28,5,38,28
26765.png,46,22,5,16,3,23,18
26765.png,46,22,4,22,3,30,18
26766.png,64,31,4,23,3,31,22
26767.png,413,146,1,255,55,279,123
26767.png,413,146,5,273,51,294,119
26767.png,413,146,6,286,57,316,125
26767.png,413,146,5,305,55,337,123
26768.png,88,38,2,27,3,40,32
26768.png,88,38,1,41,4,49,33
26769.png,261,113,1,92,30,123,86
26770.png,369,183,6,142,81,166,147
26770.png,369,183,3,158,81,188,147
26770.png,369,183,1,184,73,214,139
26771.png,106,40,5,36,7,50,32
26771.png,106,40,8,57,9,71,34
26772.png,127,61,3,43,11,65,48
26772.png,127,61,2,65,8,82,45
26773.png,172,75,4,77,19,98,54
26774.png,329,159,5,82,81,112,121
26774.png,329,159,6,115,79,136,119
26775.png,63,31,9,25,1,38,27
26776.png,162,67,6,51,13,80,55
26776.png,162,67,10,84,16,117,58
26777.png,207,104,2,77,48,93,87
26777.png,207,104,7,95,33,108,72
26777.png,207,104,2,114,20,131,59
26778.png,91,41,2,30,5,44,36
26778.png,91,41,10,46,4,62,35
26779.png,40,19,3,15,1,19,16
26779.png,40,19,5,20,1,26,16
26780.png,198,105,1,78,59,92,86
26780.png,198,105,7,87,58,100,85
26780.png,198,105,2,97,55,115,82
26781.png,88,36,2,30,8,43,29
26781.png,88,36,4,42,8,57,29
26782.png,133,33,1,19,1,35,33
26782.png,133,33,4,44,1,65,33
26782.png,133,33,3,64,1,84,33
26782.png,133,33,10,87,1,119,33
26783.png,185,94,1,70,6,93,90
26783.png,185,94,10,92,2,119,86
26784.png,163,73,6,55,8,83,66
26784.png,163,73,8,85,9,111,67
26785.png,116,44,3,43,15,51,31
26785.png,116,44,2,59,15,68,31
26785.png,116,44,1,68,14,73,30
26786.png,41,20,1,15,2,20,17
26786.png,41,20,8,20,1,25,16
26787.png,75,32,1,25,12,33,26
26787.png,75,32,10,33,10,41,24
26788.png,151,76,6,53,26,74,60
26788.png,151,76,10,76,12,94,46
26789.png,188,57,4,108,18,126,51
26789.png,188,57,3,121,17,135,50
26789.png,188,57,1,132,18,149,51
26790.png,284,149,1,102,71,122,131
26790.png,284,149,3,120,48,144,108
26790.png,284,149,9,141,21,164,81
26791.png,123,55,1,40,7,58,46
26791.png,123,55,6,61,7,84,46
26792.png,59,24,2,17,3,26,23
26792.png,59,24,4,25,1,33,21
26792.png,59,24,3,32,1,40,21
26793.png,347,117,7,176,32,189,62
26793.png,347,117,7,186,38,200,68
26793.png,347,117,8,196,35,215,65
26794.png,147,62,6,54,19,68,44
26794.png,147,62,5,65,19,79,44
26794.png,147,62,10,76,19,91,44
26795.png,223,110,6,77,23,124,94
26795.png,223,110,1,125,22,148,93
26796.png,80,38,6,24,1,40,34
26796.png,80,38,3,39,1,57,34
26797.png,208,106,2,74,16,104,93
26797.png,208,106,4,108,13,132,90
26798.png,142,60,1,45,8,62,48
26798.png,142,60,2,61,9,80,49
26798.png,142,60,7,79,10,97,50
26799.png,216,78,7,65,20,81,57
26799.png,216,78,6,81,18,98,55
26800.png,102,45,3,31,6,52,41
26800.png,102,45,7,50,2,69,37
26801.png,207,77,3,98,2,128,47
26801.png,207,77,9,127,1,151,46
26801.png,207,77,10,153,1,175,46
26802.png,113,56,6,43,9,58,41
26802.png,113,56,9,58,8,73,40
26803.png,125,55,3,36,1,62,50
26803.png,125,55,9,64,1,86,50
26804.png,111,41,6,59,1,70,30
26805.png,48,20,1,17,1,20,17
26805.png,48,20,3,20,1,26,17
26806.png,70,33,3,27,6,35,28
26806.png,70,33,3,36,5,44,27
26807.png,60,29,1,22,6,29,26
26807.png,60,29,10,29,5,38,25
26808.png,79,48,5,31,8,46,44
26809.png,91,42,4,31,4,46,34
26809.png,91,42,8,44,6,59,36
26810.png,116,57,3,47,11,61,45
26810.png,116,57,1,59,9,68,43
26811.png,107,54,6,39,7,57,47
26811.png,107,54,1,50,4,67,44
26812.png,71,34,5,27,4,36,27
26812.png,71,34,7,35,4,46,27
26813.png,311,139,1,119,66,147,111
26813.png,311,139,2,138,57,175,102
26813.png,311,139,1,167,45,196,90
26814.png,274,113,6,92,20,121,67
26814.png,274,113,10,119,31,148,78
26814.png,274,113,5,142,36,175,83
26815.png,78,38,3,25,7,37,36
26815.png,78,38,9,37,4,54,33
26816.png,132,63,2,46,7,66,53
26816.png,132,63,5,63,8,84,54
26817.png,202,80,2,76,21,96,65
26817.png,202,80,1,99,20,116,64
26817.png,202,80,9,117,23,137,67
26818.png,218,68,4,56,10,79,48
26818.png,218,68,5,83,14,104,52
26819.png,53,25,5,18,2,25,20
26819.png,53,25,1,23,2,29,20
26819.png,53,25,3,28,1,34,19
26820.png,76,34,2,32,6,40,28
26820.png,76,34,1,39,7,43,29
26820.png,76,34,7,43,6,50,28
26821.png,122,66,1,48,10,74,57
26822.png,63,28,1,24,3,29,23
26822.png,63,28,10,29,3,39,23
26823.png,64,28,3,21,3,30,24
26823.png,64,28,2,29,4,35,25
26823.png,64,28,8,35,3,43,24
26824.png,45,18,2,14,1,21,14
26824.png,45,18,9,22,1,30,14
26825.png,186,80,1,58,18,77,64
26825.png,186,80,5,76,18,105,64
26825.png,186,80,10,105,15,133,61
26826.png,51,26,7,22,3,28,24
26827.png,109,44,5,45,11,58,36
26827.png,109,44,5,56,11,66,36
26827.png,109,44,6,62,10,76,35
26828.png,235,105,3,83,44,109,76
26828.png,235,105,1,101,38,120,70
26828.png,235,105,4,116,29,139,61
26829.png,70,33,2,25,6,37,27
26829.png,70,33,8,37,7,47,28
26830.png,92,41,6,29,7,42,31
26830.png,92,41,5,41,7,50,31
26830.png,92,41,4,47,7,58,31
26831.png,86,39,5,30,7,38,26
26831.png,86,39,2,37,9,44,28
