filename,width,height,class,xmin,ymin,xmax,ymax
1.png,741,350,1,246,77,327,296
1.png,741,350,9,323,81,419,300
2.png,199,83,2,77,29,100,61
2.png,199,83,3,98,25,124,57
3.png,52,23,2,17,5,25,20
3.png,52,23,5,25,5,34,20
4.png,161,79,9,57,13,72,47
4.png,161,79,3,72,13,85,47
5.png,140,68,3,52,7,73,53
5.png,140,68,1,74,10,89,56
6.png,74,35,3,28,6,38,27
6.png,74,35,3,38,8,49,29
7.png,99,54,2,35,10,48,42
7.png,99,54,8,47,11,60,43
8.png,54,22,7,17,4,24,19
8.png,54,22,4,25,4,31,19
8.png,54,22,4,31,3,38,18
9.png,79,34,1,19,4,33,28
9.png,79,34,2,29,4,42,28
9.png,79,34,8,38,5,55,29
10.png,74,37,1,25,6,34,33
10.png,74,37,6,34,4,48,31
11.png,63,33,2,22,5,34,31
11.png,63,33,3,33,4,42,30
12.png,171,87,6,67,16,90,71
12.png,171,87,3,90,17,110,72
13.png,128,58,4,44,12,61,45
13.png,128,58,2,63,13,81,46
14.png,112,53,5,35,2,56,44
14.png,112,53,8,55,2,78,44
15.png,66,32,1,22,8,36,28
15.png,66,32,6,33,7,43,27
16.png,60,25,2,20,3,27,22
16.png,60,25,3,26,1,33,20
17.png,71,31,7,23,4,37,26
17.png,71,31,9,35,4,47,26
18.png,161,78,5,52,12,80,53
18.png,161,78,3,80,17,101,58
19.png,61,24,2,19,1,26,20
19.png,61,24,2,28,1,35,20
19.png,61,24,2,36,1,43,20
20.png,64,27,6,20,2,31,26
20.png,64,27,2,32,1,43,25
21.png,191,101,2,72,6,124,91
22.png,81,28,5,24,4,34,20
22.png,81,28,1,34,5,41,21
22.png,81,28,5,40,5,51,21
23.png,104,42,4,29,5,50,37
23.png,104,42,7,52,5,74,37
24.png,445,181,8,233,59,252,93
24.png,445,181,9,248,56,269,90
25.png,190,75,6,60,11,84,61
25.png,190,75,10,87,9,111,59
25.png,190,75,1,113,7,134,57
26.png,100,47,2,34,7,46,39
26.png,100,47,4,49,8,62,40
27.png,142,64,5,46,11,72,56
27.png,142,64,6,73,8,100,53
28.png,87,47,5,31,8,44,41
28.png,87,47,2,42,7,52,40
29.png,119,48,1,43,14,53,32
29.png,119,48,3,51,13,67,31
29.png,119,48,2,66,14,71,32
30.png,54,27,1,16,1,23,26
30.png,54,27,4,25,1,36,26
31.png,60,21,6,14,1,24,20
31.png,60,21,3,24,1,35,20
31.png,60,21,8,36,1,47,20
32.png,121,63,4,48,16,65,49
32.png,121,63,3,67,19,85,52
33.png,91,44,1,27,5,43,38
33.png,91,44,4,42,5,60,38
34.png,111,52,4,41,13,57,45
34.png,111,52,2,54,9,78,41
35.png,57,24,6,25,5,32,19
36.png,122,62,4,50,9,73,56
36.png,122,62,4,72,8,96,55
37.png,73,30,1,24,4,30,24
37.png,73,30,1,42,2,49,22
38.png,233,104,1,87,28,113,85
38.png,233,104,7,108,22,145,79
39.png,150,76,3,62,19,75,59
39.png,150,76,1,74,20,83,60
40.png,178,84,2,61,9,89,70
40.png,178,84,10,93,17,121,78
41.png,103,54,4,38,10,49,45
41.png,103,54,2,50,9,63,44
42.png,287,114,2,110,27,135,78
42.png,287,114,5,131,36,161,87
42.png,287,114,1,159,36,185,87
43.png,235,96,2,87,24,118,75
43.png,235,96,9,119,20,145,71
44.png,72,36,2,19,3,32,29
44.png,72,36,10,32,3,40,29
44.png,72,36,4,40,3,47,29
45.png,91,41,1,35,3,43,34
45.png,91,41,10,44,4,56,35
46.png,437,202,3,136,87,185,191
46.png,437,202,2,201,44,242,148
46.png,437,202,7,257,18,310,122
47.png,42,20,2,14,2,20,17
47.png,42,20,4,20,1,25,16
48.png,205,86,4,74,20,102,70
48.png,205,86,6,103,17,132,67
49.png,221,77,8,65,18,101,63
49.png,221,77,1,102,15,128,60
49.png,221,77,7,132,16,160,61
50.png,168,68,1,58,27,69,53
50.png,168,68,10,74,22,89,48
50.png,168,68,3,95,17,110,43
51.png,120,63,9,47,7,63,52
51.png,120,63,1,66,9,75,54
52.png,145,58,3,45,12,68,50
52.png,145,58,5,74,11,102,49
53.png,392,149,9,160,34,219,118
53.png,392,149,3,208,18,260,102
54.png,126,66,1,36,10,54,55
54.png,126,66,1,56,8,77,53
55.png,223,79,1,116,27,131,62
55.png,223,79,1,128,29,138,64
55.png,223,79,3,137,29,154,64
55.png,223,79,7,151,26,168,61
56.png,67,28,5,22,4,31,24
56.png,67,28,6,35,3,44,23
57.png,163,77,2,63,38,79,63
57.png,163,77,1,74,26,89,51
57.png,163,77,5,83,12,102,37
58.png,128,59,1,45,6,64,52
58.png,128,59,1,65,2,82,48
59.png,89,48,2,35,3,54,45
60.png,48,21,4,16,1,25,20
60.png,48,21,7,25,1,32,20
61.png,69,34,5,33,6,42,25
62.png,129,60,3,45,6,69,52
62.png,129,60,2,61,8,86,54
63.png,253,109,4,96,23,136,86
63.png,253,109,3,132,27,169,90
64.png,75,33,2,26,4,34,30
64.png,75,33,9,37,3,53,29
65.png,70,31,5,25,6,36,27
65.png,70,31,8,36,7,48,28
66.png,92,42,9,38,6,49,36
66.png,92,42,5,46,6,60,36
67.png,126,62,1,48,5,60,52
67.png,126,62,10,59,4,81,51
68.png,187,82,5,71,19,85,54
68.png,187,82,4,88,19,101,54
68.png,187,82,2,102,14,122,49
69.png,134,69,4,54,12,69,58
69.png,134,69,4,67,16,81,62
70.png,63,27,3,20,5,31,21
70.png,63,27,1,30,5,37,21
71.png,91,32,2,24,4,35,26
71.png,91,32,3,36,4,46,26
71.png,91,32,8,48,3,57,25
71.png,91,32,6,58,3,68,25
72.png,68,27,1,26,6,33,23
72.png,68,27,5,34,5,45,22
73.png,41,20,3,18,3,23,17
74.png,81,35,3,28,4,38,30
74.png,81,35,3,40,6,52,32
75.png,85,45,1,34,10,41,39
75.png,85,45,8,40,9,51,38
76.png,53,22,9,22,2,28,20
76.png,53,22,8,29,2,35,20
77.png,189,79,7,53,5,83,65
77.png,189,79,3,84,4,108,64
77.png,189,79,9,106,6,130,66
